airline,continent,avail_seat_km_per_week,incidents_85_99,fatal_accidents_85_99,fatalities_85_99,incidents_00_14,fatal_accidents_00_14,fatalities_00_14
Aer Lingus,Europe,320906734,2,0,0,0,0,0
Aeroflot,Europe,1197672318,76,14,128,6,1,88
Aerolineas Argentinas,South America,385803648,6,0,0,1,0,0
Aeromexico,South America,596871813,3,1,64,5,0,0
Air Canada,North America,1865253802,2,0,0,2,0,0
Air France,Europe,3004002661,14,4,79,6,2,337
Air India,Asia,869253552,2,1,329,4,1,158
Air New Zealand,Australia,710174817,3,0,0,5,1,7
Alaska Airlines,North America,965346773,5,0,0,5,1,88
Alitalia,Europe,698012498,7,2,50,4,0,0
All Nippon Airways,Asia,1841234177,3,1,1,7,0,0
American,North America,5228357340,21,5,101,17,3,416
Austrian Airlines,Europe,358239823,1,0,0,1,0,0
Avianca,South America,396922563,5,3,323,0,0,0
British Airways,Europe,3179760952,4,0,0,6,0,0
Cathay Pacific,Asia,2582459303,0,0,0,2,0,0
China Airlines,Asia,813216487,12,6,535,2,1,225
Condor,Europe,417982610,2,1,16,0,0,0
COPA,South America,550491507,3,1,47,0,0,0
Delta / Northwest,North America,6525658894,24,12,407,24,2,51
Egyptair,Africa,557699891,8,3,282,4,1,14
El Al,Asia,335448023,1,1,4,1,0,0
Ethiopian Airlines,Africa,488560643,25,5,167,5,2,92
Finnair,Europe,506464950,1,0,0,0,0,0
Garuda Indonesia,Asia,613356665,10,3,260,4,2,22
Gulf Air,Africa,301379762,1,0,0,3,1,143
Hawaiian Airlines,North America,493877795,0,0,0,1,0,0
Iberia,Europe,1173203126,4,1,148,5,0,0
Japan Airlines,Asia,1574217531,3,1,520,0,0,0
Kenya Airways,Africa,277414794,2,0,0,2,2,283
KLM,Europe,1874561773,7,1,3,1,0,0
Korean Air,Asia,1734522605,12,5,425,1,0,0
LAN Airlines,South America,1001965891,3,2,21,0,0,0
Lufthansa,Europe,3426529504,6,1,2,3,0,0
Malaysia Airlines,Asia,1039171244,3,1,34,3,2,537
Pakistan International,Asia,348563137,8,3,234,10,2,46
Philippine Airlines,Asia,413007158,7,4,74,2,1,1
Qantas,Australia,1917428984,1,0,0,5,0,0
Royal Air Maroc,Africa,295705339,5,3,51,3,0,0
SAS,Europe,682971852,5,0,0,6,1,110
Saudi Arabian,Asia,859673901,7,2,313,11,0,0
Singapore Airlines,Asia,2376857805,2,2,6,2,1,83
South African,Africa,651502442,2,1,159,1,0,0
Southwest Airlines,North America,3276525770,1,0,0,8,0,0
Sri Lankan / AirLanka,Asia,325582976,2,1,14,4,0,0
SWISS,Europe,792601299,2,1,229,3,0,0
TACA,South America,259373346,3,1,3,1,1,3
TAM,Europe,1509195646,8,3,98,7,2,188
TAP - Air Portugal,Europe,619130754,0,0,0,0,0,0
Thai Airways,Asia,1702802250,8,4,308,2,1,1
Turkish Airlines,Asia,1946098294,8,3,64,8,2,84
United / Continental,North America,7139291291,19,8,319,14,2,109
US Airways / America West,North America,2455687887,16,7,224,11,2,23
Vietnam Airlines,Asia,625084918,7,3,171,1,0,0
Virgin Atlantic,North America,1005248585,1,0,0,0,0,0
Xiamen Airlines,Asia,430462962,9,1,82,2,0,0